EmployeeID,FirstName,LastName,PhoneNumber,EmailAddress,JobTitle
1,Kayley,Sugden,226-846-3385,ksugden0@vistaprint.com,seamstress
2,Deane,MacDermand,998-222-6272,dmacdermand1@i2i.jp,seamstress
3,Normie,Westnedge,559-525-0977,nwestnedge2@360.cn,seamstress
4,Horacio,Verma,971-326-7256,hverma3@cisco.com,seamstress
5,Val,Freiberg,410-357-9461,,receptionist
6,Ardyce,McGrale,269-480-3439,amcgrale5@google.de,head seamstress
7,Adham,Fourcade,929-653-6705,afourcade6@dyndns.org,seamstress
8,Brina,Brownjohn,238-585-3418,bbrownjohn7@huffingtonpost.com,seamstress
9,Keefer,Wardhough,127-926-3954,kwardhough8@tamu.edu,seamstress
10,Mead,Frusher,717-241-2666,mfrusher9@pinterest.com,seamstress
11,Junette,Lampel,779-513-2467,jlampela@a8.net,seamstress
12,Ezmeralda,Woodyer,423-815-2071,ewoodyerb@sciencedirect.com,fitter
13,Lonna,Castan,391-476-8047,lcastanc@wp.com,fitter
14,Shauna,Flello,786-825-0362,sflellod@weibo.com,fitter
15,Jud,Risdale,912-465-1696,jrisdalee@mit.edu,assistant
